,id,payment score
162,44edb9ab29c3f578885a99c07634b78ba6bf7069dc24bb037106753078d5eed2,106.769
163,1dbea1c74f78f99a12c3565bbf89d79d5887041fcfac86ed7c56c88747fc4fcf,64.144
164,a7cf351bb6948eba4d3c89489042e450dd0f13392af7b36af6b39a0d91031f26,364.868
165,cb7e79c12fb4ea1714d533580d55cd54c40c025a422a6be472c6c6f93c95e211,327.717
166,2bb618b608a628d631e6479d20bee9f285cbaba700c2e7396bdab103457aca5b,568.419
167,2a1d9e9509f8c3966858161d99c50019c639a39e6214b25066c8e79f893dc43b,567.334
168,212dc87d288999826adbd9bb213d8daba5c4e9169e55a91b8349d5babbe57141,83.356
169,3a63eb7398ccd9ce9dd9b2bb0b0f5251e0ed1e801507ded8225c5b7e14f4ca00,218.168
170,897ebfa0cff9b319d87fcae2e60d140646e0b102de90b5bbfa21a5031b64ee2f,588.519
171,d2d41941e3352be3c1ed8989eb4e2b32a1377b44ddc6a7ae662a5f7e20bc4e0d,615.775
172,d3d8647177a75422f7b9d5736eb49ab8e5f15391cf509459702c894ead77cfa3,580.241
173,012880a4df3801b19c2ad6164f21579f97db905dc64b40e214f2faa9e783eb6f,407.176
174,a64a97ca67000223dcb0f4ef3cf91dfe1fea58221033c144c8362cd21782ce15,33.639
175,58da8be4640db03f7d15c193b9bde6c5bf7af8003c9067317fb57f0d13b18ec5,53.051
176,f004e78b0e1aef3fd6840f5bbe9739c108a5d40f3199a6e2f00d0c02e4fab05d,88.318
177,aaaf375e9577dd117e823e079852b39635048d64c5bd632ce296545969bea613,92.495
178,b064611c0223f4911e9344eb130647a799ffe363d5fe452cb8767d6704a8edab,17.785
179,6f8d9ff5848e2ce462a4edef2f26b48a2b113b684aa6e72687613ccb65e71358,162.74
180,edf97acde8c699b64200644cfe5d617daafd9e514845129ee8e7ede9fb75c30b,102.034
181,0874f1957b1e45b0dcca48c737c1b02eb18dc2fc6866a691489938de2e2ae6a4,463.2416666666667
182,ba86a3a337f6bde87a45e1cfddb6c7d37dca7b2fd31ce788ffa4c982057a14ec,120.505
183,d05bbb2b10ebbb43af174f2e3cabbf3cf4da626e8828b77ff667e59aa65c5a9b,47.053
184,407a73cd6117f147b7b0154abb4a5870e84081674b7ede15dcaabcd82c72ae97,295.691
185,cdaee1974ef89fb78cbf9b787e8c724ad8e105180ef500482d5437421da7762e,137.558
186,fa21eb8f9eef1c57401a326162f507062532079ace179e085f4845619da15714,72.613
187,bf6c6799c09739f25e352266be90ee23db6fe09f8c2365803157baebccf43e9c,177.204
188,bbe431d88350e1e8b610456d3a7a44a0a00a2f609a6a564eae730c7955f16c6a,165.136
189,644b7b4e159e20301b03e2759e12127c23d410092255f65b15d65505a6633efd,46.113
190,3f628423fe7747c7b01edf6c90b6a0519ed986fcdf0dc0fe19615c12ad9b5919,567.334
191,54a3c9a2e3f6cd04aafdd969ceb6aafc0c4e3c7d1496b60c5a40b29445bf502b,24.096
192,8903cc68d6bc9c4bcab4bac22b681da748a0c313b59b9327ea9449e8e24f5531,14.664
193,4c5e7c5fe9ff434568a8a381b19e9686125882fb60f56e940340f12ff4c05d7c,279.358
194,4d81d7cd414e2c44364ffbe7964f33949d4f1b811df649fcbd0120a3325ca5f8,687.207
195,5748b46f231fa427575eb863448fce93451c0f3dc4bac90b99331cf536b839a6,371.304
196,94d53e4a3bd399f85c93d26adcc548a9fcb7b3d7175828c6caf10c2c31bdb6ce,492.292
197,ca7298ba2e67131fca9cddbd1fcace75d63eecdc2081984590e8780c83999da8,221.63
198,53dcf17918ea51aae00ff890b339331fe62725abbe7478f0d64a647dd9dbe283,141.486
199,bf73b3ebca49385a1186c5e3c2e688245e9bba2ef08ee48708ae11f6faa4b33d,74.088
200,16694449003766ee3966254ff76fbb479cc61a2bd3ef9116193036f3b60212ac,17.05
201,f422eb9f9a4ba09ea8550d856d29957ac7551c1c2101256510e6f63c58fc6461,103.126
202,624c30d61c90be5e54a45442a84608aa66298fc4871db6a3803cb8275b29ff7e,131.01947619047624
203,b2898b9f419a6cfb350677c52f04be9f16f7eb1b8ea477399207d5782a3af411,40.504
204,0ba633e18b6dc76d35578e2fa7abed8e9fd8ad3a9fdb44b1609f447316a703d4,116.243
205,14cb8db86389f2336292514af25e671c983ab2f3169802a9a7a7ff81068f8e2f,344.1531333333333
206,2fd874e6420c311e2e26954460b373fcdb92e0770064cbcba3f7aa961413ece5,17.486
207,69b732874c5c5f876510f70e79ad031561b5ef94e5e9d23b48d7a9e6e5588db4,91.42
208,57b7894f4f2583f10b9085f4a67887c3aed0ba3d293693d2982156ca97f6f6e9,510.259
209,ad4251f16b216cc4f6d2d08adb18ca9f4580c62bd59857b491e6651d0d78d3b3,97.643
